cv;label
Advocate of space and its sustainability ;0
I’m a Data Scientist and Psychologist involved in Biomedical and Behavioral Research and Data for over 10 years. Passionate about tech and innovation since the age of three, with entrepreneurial experiences. ;1
Data Science ;1
Data Scientist, specialized in machine learning and algorithm development. ;1
"Member of the Israel Bar Association

Specialties: Legal translation, transcribing protocols at hearings, Hebrew/English interpreting at hearings and conferences, debt collection, filing documents at the courts and registries in Jerusalem on behalf of out of town offices, freelance bi-lingual secretarial services for offices in the Jerusalem area. ";0
"I litigate civil, commercial and constitutional matters primarily in the Supreme Court of India, also before High Courts and Tribunals and appear frequently in arbitrations. I am qualified to practise in India and in the State of New York. I have done consultancies on various aspects of International Law with UNICEF, UNDP and the IPU, in UN HQ in New York, Bhutan, Bangladesh, India, Pakistan, the Maldives and Nepal and have worked with the governments of many of the countries listed. I conducted training in the Pakistan Senate on how to formulate and pass good legislation, and three trainings of South Asian judges, lawyers and government representatives in Nepal on juvenile justice.

Specialties: Litigation, Constitutional law, Legal policy, Media law, Arbitration, International Law. ";0
Data Scientist with several years hands-on working experience in machine learning, artificial intelligence and statistics, to draw meaningful insights from big data. Good at communication and storytelling with data. ;1
Author of Yellow: Race in America Beyond Black and White. ;0
Data Lover & Proud Geek ;1
"Machine Learning - Linguistics - Statistics - Data Mining - Text Mining - Political Analysis - dev. www.thinkingabout.eu
www.eliflab.com

Python - Javascript - Java - Redis - mongodb 
Search Engine 
email: gabriele@eliflab.com
Specialties: 
data mining in Python and Java -
OpenCv and Processing -
non-relational dbs (Redis, mongodb and neo4j) -
The Beautiful Haskell programming language -
math in Haskell - Harmonic Analysis";1
"Sullenberger became internationally renowned on January 15, 2009 when he and his crew safely guided US Airways Flight 1549 to an emergency water landing in New York City’s frigid Hudson River. Sullenberger and his crew received international acclaim for their actions, including the passage of a Congressional resolution recognizing their bravery. Sullenberger was ranked second in TIME's ""Top 100 Most Influential Heroes and Icons of 2009” and was awarded the French Legion of Honour.

Sullenberger is the #1 New York Times best-selling author of Highest Duty: My Search for What Really Matters and also wrote Making a Difference: Stories of Vision and Courage from America's Leaders. Clint Eastwood directed the major motion picture about Sullenberger, titled Sully, based on Highest Duty, with Tom Hanks in the lead role. The film was released to critical acclaim in September 2016. Highest Duty has been republished as Sully: My Search for What Really Matters.

Sullenberger is an international lecturer and keynote speaker on how to achieve the highest levels of performance, reliability, and safety through effective crisis management, continuous learning, leadership, and culture. ";0
"Vimal Romeo is data scientist and AI developer with an expertise in natural language processing. He has worked on Italian language data and has done projects related to text classification, sentiment analysis and topic modelling. He is passionate about artificial intelligence and has worked on chatbot development. He is also interested in computer vision, recommender systems and the development of decentralized applications using ethereum.
He has worked directly with the client gathering the technical requirements and providing consultation about the best implementation based on their business needs. ";1
I'm Alan from Turin..(g) - of course I had to become an A.I. guy. I fell in love with AI during high school, and decided it was the stuff I wanted to play with. It's been 14 years now and I'm still 100% into it - plus hey, AI is cool again now! I've done symbolic AI for my bachelor's (multiagent planning) and master's (cognitive-inspired graph-based logic), then hybrid systems for my PhD (neuro-symbolic integration), then worked as R&D data scientist (mostly convolutional deep nets using Tensorflow from day 0!) and now I'm an AI researcher working on Explainable Artificial Intelligence (mostly vision-based) and Reinforcement Learning. I sometimes teach machine learning stuff as well. Did I say I'm glad AI is cool again? ;1
HR Consultant, Empowerment advocate, Author, Founder of Kintsugi Olistica ;0
"I'm a data scientist with a technical education (bachelor and master in Computer Engineering) and a business background. 
I always approach data science problems from a business point of view, trying to keep everything simple and giving crucial importance to a clear communication. 
I use the agile approach and the lean methodology to quickly deliver results and improve them iteratively.

Technologies/tools I'm more familiar with:
– Python
– Pandas
– Scikit-learn
– SQL
– PySpark
– HiveQL
– Excel

Specialties: 
– applying data science to solve marketing-related problems
– classification and regression algorithms
– business acumen
– programming skills
– stakeholder management
– data products lifecycle management
– problem solving ";1
Civil, Corporate, EU Lawyer, Cultural and Civic advocate, Proeurope activist;0
Applied mathematician, recently completed a Ph.D. Thesis in the field of Numerical Analysis (defense in Spring 2019). Solid background in scientific calculus with Python. First experience in data science, interest in the different applications of machine learning techniques, with a focus on the developement of digital products. ;1
"Data Scientist, PhD in Astrophysics. Strong background in numerical simulations, machine learning and mathematical statistics. Published 6 first author and 33 coauthor manuscripts in high-impact scientific journals.
• Deep expertise in data mining, working with large databases
• Methods of mathematical statistics and numerical simulations
• Working with geolocation data
• Natural language processing, semantic analysis
• Software development with C++ and Python ";1
Physics Engineer with 7+ years of experience in Data Science, Machine Learning and Management Consulting. Proven ability to model and solve real world problems following solid quantitative methodologies and drawing inspiration by academic and industrial research advancements. Expert in extracting value from large and heterogeneous data sources by exploiting top-notch techniques and defining new analytical paradigms when needed. Very passionate for Physics and confident in the face of complexity. Able to identify patterns, generalizations and key elements to understand systems dynamics and drive decisions making in uncertainty contexts. Very fast and proactive learner with multidisciplinary mindset and cross-industry experience (Consulting, Healthcare, Finance, Retail and Ecommerce). ;1
"I'm a computer scientist passionate about machine learning, big data analytics and network analysis.

Currently, I work as a Data Scientist at H-FARM.

During my studies, I spent more than a year with the CORPNET research group at the university of Amsterdam, where I investigated board interlock networks. I wrote my MSc thesis on the impact of poor data quality in their analysis. 

Expertise: Digital marketing, Big data analytics, Machine learning, Data science, Spark(Python/Scala/R), Python, R, Network Analysis and data-driven advisory. ";1
Data Analyst, Data Scientist;1
APPLE BRAND ADVOCATE;0
Advocate of Innovators;0
Data Analyst | Social Scientist ;1
"I started working in the media industry as a challenge to balance good news with bad ones, as they influence our lives very deeply. As founder of a non-profit organization and a digital start-up, I've deepen and applied innovative business models focused on positive news and constructive journalism with a digital magazine and a mobile news aggregator, awarded by the Presidency of Italian Republic and the main Italian Universities for their impact as a social innovation project, and by Apple and IlSole24ORE as one of the best digital apps.

I discovered new approaches and deepen the start-ups' ecosystems in international environments travelling to London and Silicon Valley, meeting influencers, investors and VCs, and focusing on UX, MVP, lean start-ups and agile project management.";0
I currently work for KNIME in Berlin as a data scientist in the evangelism team. More about me: In August 2016 I started a 3-months internship with Enrico Bertini, professor at New York University. My project was involving the development of a visual analytics tool able to display interactively machine learning explanations. On February 2017 I published a paper about my project in the workshop HILDA at SIGMOD 2017 in Chicago. This work was also part of my thesis. After graduation (Rome, October 2017) I went back to NY to present the same tool along with a new technique to visualize partial dependence at Google. I travel now between Europe and US showing how to use KNIME to build guided analytics applications to automate the ML process. ;1
"Background in Software Engineering with specialization in statistical modelling and machine learning. Certified and hands on experience in developing machine learning and deep learning models. 
Research associate at NTU in SenticNet Lab for machine learning and AI applications to Fintech with recent publications in international conferences. 
Working at NttData on machine learning application to the industrial big data environment. 
I believe in the strong power of big data and machine learning technologies combined together to produce business value.";1
More than 16 years of experience in customer service and support, focus on problem solving, troubleshooting with planning/implementing proactive procedures and systems to avoid problems. Expert to handle critical customer issues, determine problems and deliver known solutions with a high level of customer satisfaction. Skilled in reaching objectives and goals, working under pressure to meet deadlines. Ability to train, motivates and supervises customer service employees. Adapt well to working in a wide variety of environments and roles either alone or as a team member, home or abroad.;0
"My field of interest comprises Remote Sensing systems for Earth Observation, with a special focus on data processing for improving and monitoring biogeochemical and dynamical processes that could ultimately prevent natural disasters and/or benefit policy-making decisions on climate adaption.

I hold an integrated master degree on Environmental Engineering by the Faculty of Sciences and Technology, UNL. I have also expanded my education on geophysics and governance issues and enrolled and multiple Arctic-related courses.

I have worked in two start-ups one of which I co-founded and co-managed. 

Over the past years I have grown a found interest in extreme environments, namely the Polar Regions and conducted several science communication and outreach activities (in Portugal, Brasil and Norway), on a volunteer basis. 

Currently I have a one-year contract as Earth Observation Data Scientist at European Space Agency working with optical and radar data fusion, machine learning and support to management activities inside my department. ";1
Experienced Lawyer with a demonstrated history of working in the alternative dispute resolution industry. Skilled in Mediation, ADR, Negotiation, Business Law, Banking Law, Financial Service Law and Protection of Human Rights. Strong legal professional with a Master of Laws (LLM) focused in European Law. ;0
Italian data scientist, graduated in Physics, with strong interest in Reinforcement Learning and Deep Learning techniques. ;1
"My work relies on social network analysis and on agent-based modeling as powerful tools to deal with the complexity of human behaviors and dynamic interactions, such as job embeddedness, on-line communications, diffusion of innovation, collaborative behaviour, and status hierarchies.

I use social network analysis to describe empirical patterns and agent-based modeling to formalize and to study the social mechanisms underlying these patterns.

My entrepreneurial interests are focused on agent-based development (see more here: digitaldust.it) and on network analysis tools for community managers.

Specialties: Agent-based modeling, social network analysis, database management, data analysis, Java, R ";1
I am a storyboard artist, 2d animator and concept artist for the animation and gaming industry. ;0
"Erudite people are aware that the law profession is great. This major meaning has been derived from its name: justice and truth. We are committed to delivering this meaning in reality through the establishment of foundations of honesty and equity. 
We are also working to preserve the interests of our clients, and the society at all. 
Practicing the law is a delicate affair. If we compare the powers of the judge and the lawyer, we will find that the judging task is to pursue the justice, while the profession of the lawyer involves the creativity and skills to resolve and alleviate the troubles for others. ";0
Data Scientist at McKinsey & Company specialised in developing machine learning and optimization models in several industries (Banking, Energy, Operations, Telco). Current work experience has sharpened technical expertise, business acumen, top down communication and people management skills. ;1
Data Scientist with solid background in probability and statistics. ;1
Born and raised in New Jersey, but currently live in Bologna, Italy. A strong work ethic has allowed me to work remotely for almost ten years. Background in front-end web development, eCommerce, customer support, and business development. ;0
PhD in Statistics, focus on Bayesian inference, Bayesian nonparametric modeling, biostatistics. Research or industry experience in: - Statistics and biostatistics - Machine learning - Financial data modeling - Python, R, SQL - Hadoop, Spark ;1
Seeking the opportunity... to practice in Supreme Court of India. ;0
"Strong leader with 9 years working experience (yeah.. I paid my own education:) ) and consistently take the most challenging projects.
Transfered skills in different fast-paced industries with proven success in developing creative ideas to minimize costs (-25%, negotiation skills), enhance customer engagement (+35%) and boost sales. International experience by working, travelling and living around Europe.
Multilingual, excellent communication, organisational and IT skills; ability to build strong and lasting business relationship.

High energy and passionate about Data. ";1
Customer Technical Advocate / Care Manager - Nokia;0
"B.S.Eng. in Computer Science. PhD in Natural Language Processing & Machine Learning. Several years of experience in international research projects, both in the industry and in the academia, holding posts as R&D Team Manager, Research Engineer and Data Scientist.
Strong engineering professional skilled in Semantic Technologies, Natural Language Processing, Machine Learning.

Interested to working on complex problems, designing cutting edge solutions with an enthusiastic, engaged and inclusive team. ";1
Oil & gas specialized finance executive with a successful track record of identifying and capitalizing on investment opportunities - from deal origination and due diligence through deal execution, asset development, and ultimate monetization ;0
"I am a data Scientist, an R-Ladies and a Tableau lover. 

Tableau Public Profile : https://tabsoft.co/2PrB9ak
Github profile: https://github.com/giodev11

Background:
- Master in Big Data (1 year + internship ) 
- Master in International strategy (2 years)
- Bachelor’s degree in Economics and Management

· 2+ years’ experience in analytics and data literacy 
· 1+ years working experience with SQL (Teradata and MySQL)
· 2+ years working experience in building predictive and statistical models with RStudio and Python programming languages
· Experience with data visualization (e.g., Tableau, PowerBI, QlikView, SAS VA)

My treasure is represented by the foreign experiences I have had so far which have enriched my professional interests and - especially I'd say - my character. I am a curious and proactive person who constantly wants to know what is happening around me increasing and improving my life perspective.
Team sports and sport overall are my 'third dimension' where I can release my soul and my mind. ";1
Three decades of working internationally around the world as an actor I have obtained solid relationships on a multi level platform which entails, socially, politically, and economically ties and a solid entry for future ventures that incorporate entertainment and cultural exchange. ;0
Data Scientist | Machine Learning entusiast;1
Host of Wipeout Finland at Endemol ;0
Data Scientist ;1
"After 8 years as a university researcher in statistics working on machine learning with R-studio, currently I have had many experiences with great industries suche as Fiat -FCA in machine learning and digital marketing. Since 2012 I deal with Big Data and I collaborate with business schools Sole24Ore and Luiss teaching Big Data with ""sentiment analysis""? /NLP and machine learning on social networks (facebook, twitter, etc ...).
Fluent R studio and deployment with Shiny.
I olso teach and follow projects on digital marketing and manage activities as SEO and SEM to develop organic search and conversions to specific landing pages.
I can, provide solutions with Amazon or Azure. Strong problem solving + analytic + quantitative and intuition completes my profile.
I'm available to evaluate job offers and collaborations with VAT in Italy and in Europe, preferible, in London.";1
Born and raised in Southern California, I began my acting career with a dramatic portrayal of a princess in a stage production of The Proud Princess at the age of seven in a small local theater. As a child receiving so much praise for merely crying into my soup onstage, my fate was obviously sealed and I knew right then and there that this just had to be where the road of life was taking me. After a number of detours and two diverse but wonderful careers as a flight attendant and lawyer, I returned to my first passion of acting. Acting in film and television led to a curiosity for the entire process of filmmaking and the founding of Associated Artists Productions. However long it has taken me or wherever life’s path diverged, I feel I have finally come full circle and been given a chance to follow my dreams where they were meant to lead. ;0
"? Lead Data Scientist, 15+ years of experience in quantitative roles
? Author of books on Data Science, Machine Learning, Deep Learning and AI
? Google Developer Expert in Machine Learning
? Kaggle Master, highest rank achieved on Kaggle: 7th worldwide (148 competitions: 4 gold medals, 24 silver medals, 36 bronze medals)
? Successfully operated in different sectors such as telecommunications, oil & gas, new media, insurance & finance, consumer goods, trade fairs, public administration, real estate
? Lecturer in marketing and statistics at universities and private business schools

Amazon authorship page: https://www.amazon.com/Luca-Massaron/e/B00RW7GV02
On WorldCat libraries: http://worldcat.org/identities/lccn-no2016105774/
You find translations of my books in German, French, Dutch, Spanish, Portuguese, Polish, Chinese, Japanese, Korean, Russian and Persian. 

My Kaggle account is https://www.kaggle.com/lucamassaron

My Google Developer Expert profile: https://developers.google.com/programs/experts/directory/

To know more about my career in data science, you can read a 2016 interview by Megan Risdal published on the official Kaggle blog:
http://blog.kaggle.com/2016/07/14/kaggle-master-data-scientist-author-an-interview-with-luca-massaron/ ";1
I am currently working on my last credit needed for SAG. I have done runway fashion shows, commercial print work, calendar print work, movies and music videos as well as photo shoots on call as well as promo work and independent films. I am looking to achieve work in the entertainment industry. I am very outgoing and never give up. I am also interested in radio/ television. I can also speak Spanish. I am athletic and can play most sports as well as dance, gymnastics, hip - hop and ballet. ;0
"Data Science and Artificial Intelligence enthusiast, with strong inclination to research and high curiosity. During my studies in Data Science I acquired a solid training in the use of both Computer Science and Statistical tools. The most of the experience, acquired during my studies, came through a practical approach that gave me the opportunity to face real data and solve real problems.
The school of AI and the subsequent work experiences, gave me the opportunity to enhance the set of tools and I am able to use, and in general, my problem solving skills.
In the next future, my goal is to continuously increase my knowledge and experience, with particular attention to the Deep Learning field. ";1
Data Scientist at CRIF ;1
"I am a model/actress/brand influencer & avid equestrian and bucking bull owner who lives on my ranch in fabulous Las Vegas. You can visit my official website, blog and store, online at www.PrettyPinkAcres.com. Please subscribe to my YouTube channel youtube.com/prettypinkacres with new videos uploaded often! 
Follow me on social media below:
Twitter @prettypinkacres 
Facebook @prettypinkacres
Instagram @prettypinkacres
Snapchat @prettypinkacres
I co-host a radio show weekdays called the Vegas Morning Vibe on the Highway Vibe! You can also follow me as as I bring y'all to the hottest spots in town and on the trail via my YouTube channel Pretty Pink Acres. As always, I look forward to growing my brand, exploring new opportunities and making meaningful, lasting connections. ";0
"I am a Data Scientist, currently working at CELI and acting as Data Science Lead in the company unit.
I graduated in Mathematics at the University of Turin with the thesis “Singular Value Decomposition, Eckart-Young Theorem and Text Mining in SAS”, which was awarded 2nd prize in the SAS University Challenge. 
I have conducted the applied research project (Lagrange Scholarship) “Computer and mathematical tools for the study of Web social networks” at CELI in 2013-2014. Part of the research is described in the paper “Geometric and statistical analysis of emotions in corpora”, which was awarded the “Distinguished young paper” prize at the First Italian Conference on Computational Linguistics. 
Since then, I have been involved in business, and new research projects as well. I have been able to participate to international conferences and publish some of the work accomplished in CELI. 
I am familiar with supervised and unsupervised machine learning techniques (with a a focus on dimension reduction, cluster analysis and Natural Language Processing applications), time series and social network analysis. I am proficient with the R and Python languages, and SAS. ";1
"I am sorry I have to say this, but this is not a dating site and I am not looking to meet up or hook up. If you contact me about dating in any fashion, you will be blocked. I am here on a professional basis, looking for work and network connections. Now a little about me:

I have been an artist since I was very young, gaining skills in almost every outlet in the fine arts, recently venturing into graphic arts. It is very easy for me to pick up a camera and capture the desired interest or moment. Editing photos is something I have done for myself, other photographers, and models. I have organized and managed Art Galleries, Music Performances, Production sets, and Gatherings.";0
Lead Data Scientist at easyJet ;1
Dancer, Model, Actress at MRS. HER ENTERTAINMENT INC. ;0
I help companies understand and exploit their data. ;1
Over the past 13 years I have had the pleasure of working in the Entertainment industry as a professional dancer, gymnast and fitness model. I have shared the stage with artists such as: Bette Midler, Pink, Justin Timberlake, Jay-Z, Betty White, Tim Allen, Earth Wind and Fire, Will Farrell, and many more. I can also be seen on TV shows such as: Dancing with the Stars, Ellen Degeneres, The View, Americas Got Talent, Entertainment Tonight and many commercials. The Fitness industry came very natural to me and wasn't long before I had the opportunity to film my own Cardio Hip Hop fitness DVD available online and in Walmart, shoot many fitness infomercials and also become a lead role on the UFC Fit team. After fulfilling my career in Entertainment, I decided to branch out and use my skills in the Nightlife Industry. I am proud to say that I have worked at Hakkasan Nightclub at the MGM hotel for over 5 very successful years! Traveling is my actual reason I work so hard! I want to see it all!! Even though Im putting a dent in my bucket list... every year it keeps growing and growing!! That excites me more than you know! ;0
I am a 24 years old biomedical engineer, AI data scientist who aims to improve people's quality of life with an excellent academic background put in practice during an internship at Philips and my current work experience at the EY Center of Excellence. I distinguished myself in the fields of data science, machine learning, robotics and biomechatronics applied especially to healthcare achieving awards and international publications. I am highly motivated, eager to learn and willing to travel abroad. My priorities are working in a dynamic environment and acquiring new competences. ;1
"I simply love this job! 
As a former researcher, I apply my scientific critical approach to identify the best analytical methods to extract the most valuable business insights from the data. My eternal curiosity is amused as I get in touch every month with a new problem and a different industry type. I am glad and satisfied when the clients see their ideas realized and afterwards scaled into production.

I usually work in teams with my colleagues but I appreciate also the only company of my laptop, paper, pencil and a cup of a good caffè espresso. I’m enthusiastic to share experiences, knowledge and passion with my colleagues and take care of just started her/his career in Data Science with dedicated trainings. ";1
"Strategic, reliable and hard-worker are three adjectives that better describes my profile. I aim to work with integrity, honesty and professionalism, this attitude always helped me to earn my employer’s trust. 
My first working experience at Sogei S.p.A. helped me to increase my attitude to problem solving and team working. Now I am a data scientist at Enel and I'm working in the Data Competence Center in Digital Strategy & Governance Department. 
I've worked for 2 years for People DH on the HR Analytics project. My task was to develop Data Science models to support strategical processes like hiring, job rotation and attrition.
Since January 2019, I've worked for I&N DH on Commercial Area. In particular, I'm in the AI team for IODA project, that aim to automatically classify in a unique place all the incoming documents coming from customers, workers and technicians to E-Distributione different portals.
Since March 2019, I've worked also for EnelX e-Mobility area, developing models to optimize households consumption and EV recharge from PV resources and battery stored energy.
One of my life's mantra is: ""Treat every day as a new beginning. Stop thinking about what could have been, or what you should’ve said or done, and start looking at how you can keep moving forward"" ";1
PhD in Computer Science (Operations Research) - Senior data scientist with expertise in optimization algorithms, data analytics, data mining and machine learning algorithms applied on Big Data. ;1
"Currently, I am pursuing my master’s degree in Data Science at La Sapienza Universita di Roma (Italy). My main fields of study are Data Analysis, Database Management System, Data Mining Techniques and Statistics for Data Science. During my studies, I have found that my interests are focused particularly on techniques pertaining to data analysis and visualization using tools like R, Python. In the same lain, I have also gained profound skills in SQL, NoSQL, and MongoDB.
I aspire to work alongside some bright and sharpest minds with the objective to improve my skills.

At this point of time in my academic career, I have outlined certain specific goals to help me grow holistically. The primary ones among these are to get the experience all phases of a typical data science projects and the corporate world and to develop a network of intellectuals whom I can look towards to help me succeed in my corporate life. I understand the importance of this Data Science platform as a milestone towards a successful career. ";1
Machine Learning • Clustering • Social Network Analysis and Mining • Evolutionary Computation;1
Data Scientist Deep Learning;1
"Professional Acoustic & Electric Violinist, DJ, Model
Lydia Ansel’s energetic rock-and-roll style has been recognized by the biggest names in music. Ansel has performed alongside stars such as Rod Stewart, Enrique Iglesias, John Legend, Steve Walsh (Kansas), Robin Zander (Cheap Trick), Jordin Sparks, and Ricky Martin. She has been prominently featured internationally and all across Las Vegas (where she currently lives), including every resort along the world-famous Las Vegas Strip. Previous performances include the Latin Grammys, Billboard Awards, and three years with Rod Stewart for his shows at the Caesar's Palace Colosseum.";0
Showgirls neo-burlesque Entertainer, Fire Dancer and Snake Charmer ;0
Model & Playboy Playmate ;0
"My name is Jacey Marie Lawson and I attached some photos/resume for you to look at! I currently live in Fullerton, CA, and available for work in Los Angeles, Orange County, Inland Empire and San Diego. My stats are height 5'7"", bust 35""C, waist 26"", hips 36"", dress size 2, age 24, and I have been modeling for about five years now. I am an extrovert, reliable, hardworking, motivated, upbeat , classy , sharp, quick-witted woman with a down to earth personality. I have experience with trade shows , conventions, car races( Grand Prix) , bike races ( Supercross), boat race's, commercial's, pilot's, on-screen interviews, photo shoot's, runways, fit modeling , showroom modeling, atmosphere modeling, alcohol promo's, Car Auction's, hosting, indie film's and music videos. Some companies I have worked with are Cadillac, Think Thin, Monster, Discovery Channel , Roadstarr Motorsports , Nintendo, Lucas Oil , BEBE, Ploom Pax, Asic's , Atlas Race, FineCorsets.com, Panache Bridal, Bud Light, Stir, Stella, etc. Some recent work I did was a swimwear catalog photo shoot for DOLL Swimwear and worked for Pirate's Booty at Expo West .Thank you for your time and look forward to hearing back from you";0
"I obtained a PhD in Physics and Astrophysics in March 2015, after three years spent working on the ALICE experiment at CERN. After a one-year Post-Doc at Turin University I decided to approach the expanding world of Big Data and got admitted at the Second Level Master Degree ""Big Data in Business"" at Roma 2 University. Meanwhile (May 2016) I was hired by TIM, one of the largest telecommunication companies in Italy, where I worked in the Technology department as Data Scientist. I currently work as Data Scientist at ENEL, an Italian multinational energy company that is active in the sectors of electricity generation and distribution, as well as in the distribution of natural gas. ";1
A motivated and ambitious engineer with a commitment to and experience of developing innovative and creative engineering solutions in different disciplines: modelling and control design for multi-robot systems, intelligent systems, machine learning, and deep learning. ;1
Freelance Model, Blogger, and Mentor helping shape my way thru inspiring, informing, and mentoring in your fashion and everyday life. ;0
Big Data, Data Lake, IT Governance, Business Intelligence, Datawarehousing, Data Mining, Pattern Recognition, Business Process Re-engineering, System Dynamics, Operative Research, Project Management, Mentoring.;1
International Model. Direct Booked. Represented by, Industry Model Group (LA), AMAX (Nash), Directions (ATL, NC). Experienced in Commercials, Music Video's (Lead Only), Catalog, E-Commerce Modeling, Editorial, Lifestyle and Runway. I travel often for bookings. Please contact one of my agencies for booking/rates and not me directly. ;0
I am a successful bikini and lingerie model. ;0
Freelance Data Scientist ;1
Attended Brandeis University, Heller - The Heller School for Social Policy and Management ;0
Experienced Client Associate with a demonstrated history of working in the financial services industry. Skilled in Microsoft Excel, Customer Service, Microsoft Word, Microsoft PowerPoint, and Time Management. Strong professional graduated from University of Nevada Las Vegas Lee Business School. ;0
Data Scientist at Centrica ;1
Sales Representative at SAP ;0
Student at The University of Georgia ;0
Professional Matchmaker and Dating Coach since 1997 connecting singles and helping people find happiness. ;0
"CTO and Data scientist for Atooma, ICT start up that develops Apps to make smartphone function automatic trough the recognition of contexts and activities of everyday life.

PhD in Phyisics with focus on chaotic and noisy signals analysis developed trough C/C++, OpenMP, Python, Matlab, Verilog languages.";1
Senior Vice President Of Sales at TaCito Direct Marketing ;0
data visualization, data mining, metabolomics, sensor data analysis, R, matlab, chemometrics, process control, environmental data analysis, experimental design, machine learning ;1
I'm looking to expand into a leadership role in Automotive companies. To travel with companies I work with and grow together as a team should. RAM Trucks has been an awesome experience and with my love and knowledge of trucks and cars this would be a great starting point. Also I have extensive knowledge of the bar industry so hospitality is another Avenue I can say you'd get the best of the best from me. ;0
